,,,,,,,,"Complexity is the sum of all ingredient
complexities plus one. It is always assumed that the
previous steps were done with the least complex recipes.",,"Yes = 100% Automatic
Kind of = You have to be present
No = You have to collect ingredients in the wild"
,,,,,,,,,,
Ingredient 1,,Ingredient 2,,Ingredient 3,,Result,,Min. Complexity,Less Complex Alternative Available?,Farmable?
Carbon,#REF!,,,,,Creature Pellets,#REF!,2,No,Yes
Leg Meat,#REF!,Mordite,#REF!,,,Synthetic Worms,#REF!,3,No,No
Carbon Nanotubes,#REF!,Mordite,#REF!,,,Synthetic Worms,#REF!,3,No,Yes
Proto Sausage,#REF!,Mordite,#REF!,,,Ground Meat,#REF!,3,No,No
Diplo Chunks,#REF!,Mordite,#REF!,,,Ground Meat,#REF!,3,No,No
Scaly Meat,#REF!,Mordite,#REF!,,,Ground Meat,#REF!,3,No,No
Raw Steak,#REF!,Mordite,#REF!,,,Ground Meat,#REF!,3,No,No
Meaty Chunks,#REF!,Mordite,#REF!,,,Ground Meat,#REF!,3,No,Yes
Scented Herbs,#REF!,Mordite,#REF!,,,Pheromone Sac,#REF!,5,No,Yes
Enzyme Fluid,#REF!,Mordite,#REF!,,,Pheromone Sac,#REF!,5,No,Yes
Offal Sac,#REF!,Mordite,#REF!,,,Bloody Organ,#REF!,3,No,No
Feline Liver,#REF!,Mordite,#REF!,,,Bloody Organ,#REF!,3,No,No
Heptaploid Wheat,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,3,No,No
Glass Grains,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,4,Yes,Yes
Gamma Root,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,3,No,Yes
Aloe Flesh,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,3,No,No
Sievert Beans,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,4,Yes,Yes
Solanium,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,3,No,Yes
Frost Crystal,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,3,No,Yes
Jade Peas,#REF!,Faecium,#REF!,,,Scented Herbs,#REF!,3,No,No
Pulpy Roots,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,3,No,No
Non-Toxic Mushrooms,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,4,Yes,Yes
Solartillo,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,4,Yes,Yes
Fungal Mould,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,3,No,Yes
Cactus Nectar,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,4,Yes,Yes
Frozen Tubers,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,3,No,No
Impulse Beans,#REF!,Faecium,#REF!,,,Enzyme Fluid,#REF!,3,No,No
Pilgrimberry,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,4,Yes,Yes
Fireberry,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,No
Grahberry,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,No
Hexaberry,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,No
Sweetroot,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,No
Marrow Bulb,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,No
Star Bulb,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,Yes
Cactus Flesh,#REF!,Faecium,#REF!,,,Fermented Fruit,#REF!,3,No,Yes
Scented Herbs,#REF!,Faecium,#REF!,,,Sweetened Compost,#REF!,5,No,Yes
Enzyme Fluid,#REF!,Faecium,#REF!,,,Sweetened Compost,#REF!,5,No,Yes
Fermented Fruit,#REF!,Faecium,#REF!,,,Sweetened Compost,#REF!,5,No,Yes
Meat Flakes,#REF!,,,,,Meaty Chunks,#REF!,3,No,Yes
Solanium,#REF!,,,,,Solartillo,#REF!,2,No,Yes
Frost Crystal,#REF!,,,,,Glass Grains,#REF!,2,No,Yes
Fungal Mould,#REF!,,,,,Non-Toxic Mushrooms,#REF!,2,No,Yes
Gamma Root,#REF!,,,,,Sievert Beans,#REF!,2,No,Yes
Cactus Flesh,#REF!,,,,,Cactus Nectar,#REF!,2,No,Yes
Marrow Bulb,#REF!,,,,,Marrow Flesh,#REF!,2,No,No
Kelp Sac,#REF!,,,,,Kelp Rice,#REF!,2,No,No
Faecium,#REF!,,,,,WIld Yeast,#REF!,2,No,Yes
Mordite,#REF!,,,,,Meat Flakes,#REF!,2,No,Yes
Chromatic Metal,#REF!,,,,,Silicon Egg,#REF!,2,No,Yes
Larval Core,#REF!,,,,,Baked Eggs,#REF!,2,No,No
Creature Egg,#REF!,,,,,Baked Eggs,#REF!,2,No,Kind of
Tall Eggs,#REF!,,,,,Baked Eggs,#REF!,2,No,Kind of
Giant Eggs,#REF!,,,,,Baked Eggs,#REF!,2,No,Kind of
Heptaploid Wheat,#REF!,,,,,Refined Flour,#REF!,2,No,No
Glass Grains,#REF!,,,,,Refined Flour,#REF!,3,Yes,Yes
Kelp Rice,#REF!,,,,,Refined Flour,#REF!,3,Yes,No
Grahberry,#REF!,,,,,Processed Sugar,#REF!,2,No,No
Sweetroot,#REF!,,,,,Processed Sugar,#REF!,2,No,No
Cactus Nectar,#REF!,,,,,Processed Sugar,#REF!,3,Yes,Yes
Sticky Honey,#REF!,,,,,Synthetic Honey,#REF!,2,No,Kind of
Frozen Tubers,#REF!,,,,,Steamed Vegetables,#REF!,2,No,No
Jade Peas,#REF!,,,,,Steamed Vegetables,#REF!,2,No,No
Hexaberry,#REF!,,,,,Steamed Vegetables,#REF!,2,No,No
Solartillo,#REF!,,,,,Steamed Vegetables,#REF!,3,Yes,Yes
